collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,4,2024-03-30 00:00:00,Ranunculaceae,Ranunculus,sardous,,Growing in a patch near creak,Hairy buttercup,Flowering,Wild,Bisexual,Bright yellow petals and trichomes on stem,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50615,-97.62782,735,feet
,5,2024-03-30 00:00:00,Onagraceae,Oenothera,biennis,,Growing in a patch near creek,Evening Primrose,Flowering,Wild,Bisexual,Pink petals with 8 stamens,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50586,-97.62787,735,feet
,6,2024-03-30 00:00:00,Verbenaceae,Verbena,bipinnatifida,,Growing in a patch near creek,Dakota mock vervain,Flowering,Wild,Bisexual,Purple flowers surroundin brown inflorescence,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50487,-97.62684,735,feet
,7,2024-03-30 00:00:00,Fabaceae,Lupinus,texensis,,Growing in vast field near creek,Bluebonnet,Flowering,Wild,Bisexual,Petals lighten towards apex of plant,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50746,-97.62763,735,feet
,8,2024-03-30 00:00:00,Asteraceae,Rudbeckia,hirta,,Growing in small patch in fieald,Black-eyed susan,Flowering,Wild,Bisexual,Yellow tepals surrounding brown inflorescence with yellow ring,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50606,-97.62806,735,feet
,9,2024-03-30 00:00:00,Lamiaceae,Salvia,texana,,Grwoing in large cultivated bush,Texas Salvia,Flowering,WIld,Bisexual,Dark red and pink petals. Dark red to purple  sepals,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50615,-97.62719,735,feet
,10,2024-03-30 00:00:00,Apocynaceae,Vinca,major,,Growing underneath cedar elm in backyard,Greater periwinkle,Flowering,Wild,Bisexual,5 periwinkle petals,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50665,-97.62382,735,feet
,11,2024-04-15 00:00:00,Asteraceae,Teraxacum,erythrospermum,,Growing in residential back yard,Dandelion,Flowering,Wild,Bisexual,Inflorescence that has many white ray flowers,USA,Texas,Tom Green,San Angelo,College Hills,31.43142,-100.469,1844,feet
,12,2024-04-15 00:00:00,Poaceae,Cynodon,dactylon,,Growing in residential yard,Bermudagrass,Flowering,Wild/cultivated,Bisexual,5 spikes at the tip of an upright stem,USA,Texas,Tom Green,San Angelo,College Hills,31.43156,-100.46989,1844,feet
,13,2024-04-15 00:00:00,Asteraceae,Calyptocarpus,vialis,,Growing in residential flower bed,Creeping cinderella-weed,Flowering,Wild,Bisexual,"Small yellow flower with 5 petals, 2 leaves, additional fused leaf",USA,Texas,Tom Green,San Angelo,College Hills,31.43129,-100.46969,1844,feet
,14,2024-04-15 00:00:00,Poaceae,Bromus,catharticus,,Growing on side of hpuse,Resceugrass,Flowering,Wild,Bisexual,Bunchgrass with drooping inflorescence,USA,Texas,Tom Green,San Angelo,College Hills,31.43115,-100.46838,1844,feet
,15,2024-04-15 00:00:00,Berberidaceae,Nandina,domestica,,Flower bed in front of house,Nandina,Flowering,Cultivated,Female,Bright red berries on large panicle,USA,Texas,Tom Green,San Angelo,College Hills,31.43164,-100.46895,1844,feet
,16,2024-04-17 00:00:00,Poaceae,Hordeum,jubatum,,Growing next to concrete slab in backyard,Foxtail barley,Flowering,Wild,Bisexual,Long awned panicle,USA,Texas,Tom Green,San Angelo,College Hills,31.43153,-100.46909,1844,feet
,17,2024-04-17 00:00:00,Asteraceae,Centaurea,melitensis,,Growing next to backyard picket fence,Maltese centaury,Flowering,Wild,Bisexual,Spines covering a spherical inflorescence bulb,USA,Texas,Tom Green,San Angelo,College Hills,31.43137,-100.46904,1844,feet
,18,2024-04-18 00:00:00,Asteraceae,Senecio,flaccidus,,Growing on rocky top soil,Threadleaf ragwort,Flowering,Wild,Bisexual,Yellow ray and disc florets,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25443,-100.66231,2051,feet
,19,2024-04-18 00:00:00,Poaceae,Bromus,Sterilis,,Growing in small field near creek,Barren brome,Flowering,Wild,Bisexual,Spreading panicle inflorescence with awns,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25472,-100.66185,2051,feet
,20,2024-04-18 00:00:00,Lamiaceae,Marrubium,vulgare,,Spread out in vast grass field,Horehound,Flowering,Wild,Bisexual,"Blunt toothed, wrinkly leaves with wooly white trichomes on stem",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25543,-100.66205,2051,feet
,21,2024-04-18 00:00:00,Haloragaceae,Myriophyllum,verticillatum,,Submerged in flowing creek,Various-leaf water-milfoil,Flowering,Wild,Bisexual,"Aquatic, submersed cat tail like plant",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25545,-100.66049,2051,feet
,22,2024-04-18 00:00:00,Cyperaceae,Carex,cephalophora,,Spread out in clusters among grass field,Oval-leaf Sedge,Flowering,Wild,Bisexual,"Basal, alternate leaves. Staminate flowers at tip, pistillate flowers at base",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25748,-100.65106,2051,feet
,23,2024-04-18 00:00:00,Berberidaceae,Berberis,trifoliolata,,Growing around medium sized tree,Algerita,Flowering,Wild,Bisexual,"Pointed holly-shaped leaves, Red drupe fruit",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25732,-100.65036,2051,feet
,24,2024-04-18 00:00:00,Smilacaceae,Smilax,rotundifolia,,"Growing on tree, tendrils attached",Common greenbrier,Flowering,Wild,Male,Woody vine with climbing tendrils. Alternate heart shaped leaves,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25742,-100.65145,2051,feet
,25,2024-04-19 00:00:00,Asteraceae,Cisium,texanum,,Growing in vast wild flower field,Texas purple thistle,Flowering,Wild,Bisexual,"Round, purple disc flower inflorescence",USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53373,-97.63003,735,feet
,26,2024-04-19 00:00:00,Orobanchaceae,Castilleja,indivisa,,Growing in large field with bluebonnets,Texas Paintbrush,Flowering,Wild,Bisexual,Red paint brush like spikes,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.54729,-97.61526,735,feet
,27,2024-04-19 00:00:00,Commelinaceae,Tradescantia,occidentalis,,Growing in tall grass field,Western spiderwort,Flowering,Wild,Bisexual,Three violet petals and six stamens with yellow anthers,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53346,-97.63127,735,feet
,28,2024-04-19 00:00:00,Malvaceae,Callirhoe,digitata,,Spread out among wildflower field,Finger poppy-mallow,Flowering,Wild,Bisexual,"Cup shaped flower, purple petals. Stamens and styles form central column",USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53407,-97.63032,735,feet
,29,2024-04-19 00:00:00,Onagraceae,Oenothera,suffrutescens,,Growing in vast wild flower field,Scarlet beeblossom,Flowering,Wild,Bisexual,Honeysuckle-like flowers on a spike like inflorescence,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53322,-97.6301,735,feet
,30,2024-04-19 00:00:00,Asteraceae,Gaillardia,pulchella,,Spread out among wildflower field,Indian blanket,Flowering,Wild,Bisexual,Ray flowers that are red at base and yellow at apex,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53586,-97.62966,735,feet
,31,2024-04-19 00:00:00,Asteraceae,Coreopsis,tinctoria,,Growing in vast wild flower field,Plains coreopsis,Flowering,Wild,Bisexual,"Yellow, notch tipped rays surrounding reddish brwon disc",USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53769,-97.63168,735,feet
,32,2024-04-19 00:00:00,Lamiaceae,Salvia,farinacea,,Spread out in clusters among grass field,Mealy Cup Sage,Flowering,Wild,Bisexual,"Minute calyx, raceme with purple corolla. Greyish white trichomes",USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53921,-97.63324,735,feet
,33,2024-04-19 00:00:00,Apiaceae,Carum,carvi,,"Growing in large, mowed field",Carroway,Flowering,Wild,Bisexual,Fern like leaves with white inflorescens,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53382,-97.62974,735,feet
,34,2024-04-19 00:00:00,Asteraceae,Gerbera,,,Growing in flower bed,Gerber daisy,Flowering,Cultivated,Bisexual,Dark pinkish red ray florest surrounding disc,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53633,-97.63465,735,feet
,35,2024-04-19 00:00:00,Asteraceae,Pyrrhopappus,pauciflorus,,Spread out among wildflower field,Smallflower desert-chicory,Flowering,Wild,Bisexual,Yellow petals have entire apexes. Trichomes present on stem,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53132,-97.63435,735,feet
,36,2024-04-19 00:00:00,Asteraceae,Engelmannia,peristenia,,"Growing in bare, sandy topsoil",Engelmann's daisy,Flowering,Wild,Bisexual,Trichomes present on leaves and stem. Eight yellow petals,USA,Texas,Williamson,Round Rock,Old Settlers Park,30.53388,-97.63377,735,feet
,37,2024-04-24 00:00:00,Fabaceae,Caesalpinia,gilliesii,,"Muliple specimens growing in small, dense field",Caesalpinia,Flowering,Wild,Bisexual,Yellow petals with elongated red stamens,USA,Texas,Tom Green,San Angelo,MIR,31.54327,-100.51264,1844,feet
,38,2024-04-24 00:00:00,Convolvulaceae,Convolvulus,arvensis,,Growing around a thistle,Wild morning-glory,Flowering,Wild,Bisexual,Vine with trumpet shaped white flower,USA,Texas,Tom Green,San Angelo,MIR,31.54339,-100.51278,1844,feet
,39,2024-04-24 00:00:00,Verbenaceae,Verbena,gooddingii,,Growing in dense grass cover,Southwestern mock vervain,Flowering,Wild,Bisexual,Purple flowers compromise round infloresence,USA,Texas,Tom Green,San Angelo,MIR,31.54285,-100.51273,1844,feet
,40,2024-04-24 00:00:00,Malvaceae,Sphaeralcea,angustiflora,,Growing on bare ground,Copper globe-mallow,Flowering,Wild,Bisexual,Leafy inflorescence with flowers having five pink petals,USA,Texas,Tom Green,San Angelo,MIR,31.54297,-100.51246,1844,feet
,41,2024-04-24 00:00:00,Malvaceae,Pavonia,lasiopetala,,Growing in dense vegetative cover,Texas swamp-mallow,Flowering,Wild,Bisexual,Red stem with trichomes leads to singiular pink flower,USA,Texas,Tom Green,San Angelo,MIR,31.54305,-100.51284,1844,feet
,42,2024-04-24 00:00:00,Bignoniaceae,Chilopsis,linearis,,"Growing near mesquites, dense ground cover",Desert willow,Flowering,Wild,Bisexual,Long linear leaves with a central inflorescence,USA,Texas,Tom Green,San Angelo,MIR,31.54322,-100.51263,1844,feet
,43,2024-04-24 00:00:00,Asparagaceae,Hesperaloe,parviflora,,Growing near bunched mesquites,Red yucca,Flowering,Wild,Bisexual,Bracnhed inflorescence with pink buds,USA,Texas,Tom Green,San Angelo,MIR,31.54301,-100.51252,1844,feet
,44,2024-04-24 00:00:00,Malvaceae,Sphaeralcea,hastulata,,Growing in dense vegtative cover,Spear globemallow,Flowering,Wild,Bisexual,Small orage red flowers with 5 petals,USA,Texas,Tom Green,San Angelo,MIR,31.54319,-100.51231,1844,feet
,45,2024-04-24 00:00:00,Fabaceae,Dermatophyllum,secundiflorum,,Growing on bare soil,Texas mountain laurel,Flowering,Wild,Bisexual,Compound leaves with three central legumes,USA,Texas,Tom Green,San Angelo,MIR,31.54343,-100.51251,1844,feet
,46,2024-04-24 00:00:00,Plantaginaceae,Plantago,rhodosperma,,Growing above dense vegetative cover,Red-seed plaintain,Flowering,Wild,Bisexual,Multiple tall hirsute inflorescences coming from a central bud,USA,Texas,Tom Green,San Angelo,MIR,31.54326,-100.51254,1844,feet
,1,2024-03-21 00:00:00,Amaryllidaceae,Allium,,,,texas wintergrass,flower,Wild,Bisexual,white flowers,U.S.,Tx,Tom Green,San Angelo,San Angelo Nature trail off of Spillway road,31.377685°N,100.532977°W,1880,Feet
,2,2024-03-21 00:00:00,Santalaceae,Viscum,,,,"mesquite, greenbrier",fruits,Wild ,Bisexual,"green leaves, small old fruits",U.S.,Tx,Tom Green,San Angelo,San Angelo Nature trail off of Spillway road,31.377685°N,100.532977°W,1880,Feet
,3,2024-03-21 00:00:00,Polygonaceae,Rumex,,,,old ragweed,flower,wild ,Bisexual,"green leaves, yello very small flowers",U.S.,Tx,Tom Green,San Angelo,San Angelo Nature trail off of Spillway road,31.377685°N,100.532977°W,1880,Feet
,4,2024-04-19 00:00:00,Caprifoliaceae,Lonicera,,,,greenbrier,flower,wild ,Bisexual,yellow and white flowers,U.S.,Tx,Irion,Mertzon,E Lake Ave right next to road,31.254774°N ,100.813653°W,2180,Feet
,5,2024-04-18 00:00:00,Haloragaceae,Myriophylum,,,,some lilly pads,_____,wild,Bisexual,green with very unique pattern,U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,6,2024-04-18 00:00:00,Berberidaceae,Berberis ,trifoliolata,,,"native grasses, oaks",fruits,wild,Bisexual,"green leafs, red fruits",U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,7,2024-04-18 00:00:00,Poaceae,Bromus,catharticus,,,"native grasses, oaks",fruits,wild,Bisexual,"light green stalks, big grain",U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,8,2024-04-18 00:00:00,Smilaceae,Smilax,,,,"native grasses, oaks",fruits,wild,Bisexual,"vine, with small fruits green leaves",U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,9,2024-04-18 00:00:00,Poaceae,Holcus,,,,"native grasses, oaks",fruits,wild,Bisexual,smaller grass large seed head,U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,10,2024-04-18 00:00:00,Poaceae,Nasella ,leucotricha,,,"native grasses, oaks",fruits,wild,Bisexual,smaller grass awns coming off of seed base/head,U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,11,2024-04-18 00:00:00,Cyperaceae,Carex,,,,"native grasses, oaks",fruits,wild,Bisexual,"small plant ""poky"" seed head",U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,12,2024-04-18 00:00:00,Asteraceae,Senecio,flaccidus,,,"native grasses, oaks",flower,wild,Bisexual,yellow flower,U.S.,Tx,Tom Green,San Angelo,Knickerbocker Ranch off of Tweedy Road,31.254903°N, 100.660565°W,2060,Feet
,13,2024-04-04 00:00:00,Tamaricaceae,Tamarix,,,,"native grasses, mesquite trees",flower,wild,Bisexual,purple flowers woody plant,U.S.,Tx,Tom Green,San Angelo,San Angelo State Park,31.507368°N,100.503456°W,1900,Feet
,14,2024-04-04 00:00:00,Ephedraceae,Ephedra,antisyphilitica,,,"native grasses, mesquite trees",fruits,wild,Bisexual,green leaves branched at nodes red fruit,U.S.,Tx,Tom Green,San Angelo,San Angelo State Park,31.507368°N,100.503456°W,1900,Feet
,15,2024-04-04 00:00:00,Asteraceae,Gaillardia,,,,"native grasses, mesquite trees",flower,wild,Bisexual,yellow and red flower ,U.S.,Tx,Tom Green,San Angelo,San Angelo State Park,31.507368°N,100.503456°W,1900,Feet
,16,2024-04-19 00:00:00,Euphorbiaceae,Croton,pottsii,,,"croton, nightshade, plantain",flower,wild,Bisexual,small flowers in inflorescence,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,17,2024-04-19 00:00:00,Lamiaceae,Teucrium,lacinatium,,,"croton, nightshade, plantain",flower,wild,Bisexual,small white flower,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,18,2024-04-19 00:00:00,Solanaceae,Solanum,,,,"croton, nightshade, plantain",flower,wild,Bisexual,purple flower with orangish center,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,19,2024-04-19 00:00:00,Rhamnaceae,Ziziphus,obtusifolia,,,"croton, nightshade, plantain",fruits,wild,Bisexual,small leaves dark colored fruit,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,20,2024-04-19 00:00:00,Plantaginaceae,Plantago,helleri,,,"croton, nightshade, plantain",flower,wild,Bisexual,small white flowers,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,21,2024-04-19 00:00:00,Fabaceae,Senna,roemeriana,,,"croton, nightshade, plantain",flower,wild,Bisexual,yellow leaves,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,22,2024-04-19 00:00:00,Asteraceae,Cirsium,texanum,,,"croton, nightshade, plantain",flower,wild,Bisexual,"purple flower, hardened hairs",U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,23,2024-04-19 00:00:00,Plantaginaceae,Plantago,rhodosperma,,,"croton, nightshade, plantain",fruits,wild,Bisexual,"""seeds"" growing around stalk red center color",U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,24,2024-04-19 00:00:00,Asteraceae,Tridax,,,,"croton, nightshade, plantain",flower,wild,Bisexual,white flower very little greenery at bottom,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,25,2024-04-19 00:00:00,Geraniaceae,Erodium,cicutarium,,,"croton, nightshade, plantain",flower,wild,Bisexual,green unopened flowers,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,26,2024-04-19 00:00:00,Brassicaceae,Lepidium,virginicum,,,"croton, nightshade, plantain",flower,wild,Bisexual,whitish green reproductive structure,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,27,2024-04-26 00:00:00,Aquifoliaceae,Ilex,cornuta,,,oak,fruit,cultivated,Bisexual,"green leaves, green fruits",U.S.,Tx,Tom Green,San Angelo,ASU CAV building,31.439925°N ,100.464441°W,1945,Feet
,28,2024-04-19 00:00:00,Cupressaceae,Juniperus,pinchotii,,,"croton, nightshade, plantain",fruit,wild,Bisexual,gren leaves red fruit,U.S.,Tx,Tom Green,San Angelo,private ranch east of mertzon,31.218190°N,100.714169°W,2175,Feet
,29,2024-04-27 00:00:00,Fabaceae,Caesalpinia,,,," grasses, cactus, mesquite",flowering,wild,Bisexual,yellow flowers with red long strings protruding,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,30,2024-04-27 00:00:00,Bignoniaceae,chilopsis,,,," grasses, cactus, mesquite",flowering,wild,Bisexual,white flower with purple accents,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,31,2024-04-27 00:00:00,Viburnaceae,Sambucus,,,," grasses, cactus, mesquite",flowering,wild,Bisexual,light green flowers serated leaf edge,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,32,2024-04-27 00:00:00,Rosaceae,Rosa,pendulina,,," grasses, cactus, mesquite",flowering,wild,Bisexual,redish pink flower serated leaf edged,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,33,2024-04-27 00:00:00,malvaceae,Sphaeralcea,angustifolia,,," grasses, cactus, mesquite",flowering,wild,Bisexual,one orange flower ,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,34,2024-04-27 00:00:00,Rhamnaceae,Ziziphus,jujuba,,," grasses, cactus, mesquite",flowering,wild,Bisexual,yellow flowers; stem kinda poky,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,35,2024-04-27 00:00:00,Scrophulariaceae,Leucophyllum ,frutescens,,," grasses, cactus, mesquite",flowering,wild,Bisexual,chalky leaf appearance,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,36,2024-04-27 00:00:00,Malvaceae,Pavonia,,,," grasses, cactus, mesquite",flowering,wild,Bisexual,vibrant pink flower multiple stamens,U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,37,2024-04-27 00:00:00,Colvolvulaceae,Convolvulus,,,," grasses, cactus, mesquite",flowering,wild,Bisexual,"2 white flowers, wrapped around woody stem",U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,38,2024-04-27 00:00:00,Fabaceae,Leucaena,retusa,,," grasses, cactus, mesquite",flowering,wild,Bisexual,"big yellow ""cotton ball"" flowers",U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,39,2024-04-27 00:00:00,Papaveraceae,Argemone,,,," grasses, cactus, mesquite",Flowering,wild,Bisexual,"white flowers, hardened hairs",U.S.,Tx,Tom Green,San Angelo,Angelo State University MIR,31.543311°N,100.514073°W,1955,Feet
,1,3-8-24,verbenaceae,verbena,bonariensis,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,herb with zygomorphic purple flowers surrounding a main stem with very short pedicels,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,3,3-8-24,geraniaceae,erodium,cicutarium,,low grassland occupied by some small shrubs,mostly grasses ,flowering,wild,bisexual,three radial purple flowers branching off of stems short pedicels with budding flowers having a long awn-like protrusion,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,5,3-8-24,brassicaceae,descuraiana,pinnata,,low grassland occupied by some small shrubs,mostly grasses,flowering,wild,bisexual,radial yellow flowers attached to stem with small pedicels and pods protruding form main stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,7,3-8-24,lamiaceae,lamium,amplexicaule,,low grassland occupied by some small shrubs,mostly grasses,flowering,wild,bisexual,tall zygomorphic puple flowers attached to main stem with whorls of round leaves below ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,9,3-8-24,brassicaceae,raphanus,raphanistrum,,growing in field which had been planted,wheat and some fabaceae,flowering,cultivated,bisexual,radial apopetalous white single flower on main stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,11,3-8-24,rosaceae,prunus,angustifolia,,tall shrubby area near a fence,mostly grasses and cactus as well as junipers,flowering,wild,bisexual,white radial flower with long stamens attached by a pedicel to woody branch,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,13,3-8-24,brassicaceae,capsella,bursa-pastoris,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering and fruiting,wild,bisexual,very small radial white flowers attached at the top with long pedicels and heart shaped fruits below attached by longer pedicels,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,15,3-8-24,asteraceae,tetraneuris,scaposa,,low grassland occupied by some small shrubs,mostly grasses,flowering,wild,bisexual,sole radial yellow flower with attachment directly to stem and is stolonomous,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,17,3-8-24,brassicaceae,tomostima,platycarpa,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering and fruiting,wild,bisexual,small radial white fowers attached my a long pedicel to main stem with older flowers starting to fruit and even younger flowers starting to bud,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,19,3-8-24,primulaceae,primula,triloba Nutt.,,low grassland occupied by some small shrubs,bare ground,flowering,wild,bisexual,one large radial yellow flower attached directly to main stem and is stolonomous,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,21,3-10-24,rosaceae,prunus,angustifolia,,near creek growing between larger trees,grasses and cactus and juniper along with some large pecans,flowering,wild,bisexual,small radial white flowers attatched by a pedicel to main woody branch,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,23,3-10-24,papaveraceae,corydalis,aurea,,low grassland occupied by some small shrubs,mostly grasses ,flowering ,wild,bisexual,yellow zygomorphic flowers attached to main stem in a raceme with short pedicels,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,25,3-10-24 ,asparagaceae,rapistrum,rugosum,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,small radial yellow flowers attached to main stem in a panicle with some flowers budding ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,27,3-10-24 ,geraniaceae,erodium,texanum,,low grassland occupied by some small shrubs,mostly grasses ,flowering,wild,bisexual,large purple synpetalous flower attached to main stem with long pedicel and budding flowers having a long awn-like protrusion,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,29,3-10-24 ,boraginaceae,lithospermum,arvense,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,small radial white flower at the apex of each stem with whorls of leaves below,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,31,3-10-24 ,asteraceae,tetraneuris,scaposa,,low grassland occupied by some small shrubs,mostly grasses and cactus and junipers ,flowering,wild,bisexual,sole radial yellow flower with attachment directly to stem and is stolonomous,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,33,3-10-24 ,ranunculaceae,anemone,berlandieri,,low grassland occupied by some small shrubs,mostly grasses and cactus and junipers,flowering,wild,bisexual,radial white flower surounding an upright gynoceium ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,35,3-10-24 , amaryllidaceae,allium,canadense,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,radial white flower with attachment directly to stem (also has an onion smell),United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,37,3-17-24,fabaceae,lupinus,texensis,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,blue zygomorphic flowers attached to stem directly with new budding flowers on center,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,39,3-17-24,verbenaceae,verbena,gooddingii,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,zygomorphic purple flowers surroung center attached to stem with very short pedicels and older flowers turning blue,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,41,3-17-24,asteraceae,lindheimera,texana,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,sole yellow radial flower attached directly to stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,43,3-17-24,papaveraceae,corydalis,aurea,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,yellow zygomorphic flowers attached to main stem in a raceme with short pedicels,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,45,3-17-24,boraginaceae,lithospermum,incisum,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,cyme of yellow flowers with squigley petals attached to main stem with varying pedicel lengths,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
